sequence_number,send_time,ack_time,rtt,attempt,timeout,status,chunk_size,timeout_value,file_size
0,1780935437.042756,1780935437.0429633,0.0002071857452392578,1,No,ACK_RECEIVED,512,0.5,22893
1,1780935437.0532005,1780935437.0532916,9.107589721679688e-05,1,No,ACK_RECEIVED,512,0.5,22893
2,1780935437.0638027,,,1,Yes,TIMEOUT,512,0.5,22893
2,1780935437.5644841,1780935437.5645897,0.00010561943054199219,2,No,ACK_RECEIVED,512,0.5,22893
3,1780935437.5754924,1780935437.5755997,0.00010728836059570312,1,No,ACK_RECEIVED,512,0.5,22893
4,1780935437.5857804,1780935437.5858963,0.00011587142944335938,1,No,ACK_RECEIVED,512,0.5,22893
5,1780935437.5970075,1780935437.5971477,0.00014019012451171875,1,No,ACK_RECEIVED,512,0.5,22893
6,1780935437.6074097,1780935437.6076097,0.00020003318786621094,1,No,ACK_RECEIVED,512,0.5,22893
7,1780935437.6179316,1780935437.6180704,0.00013875961303710938,1,No,ACK_RECEIVED,512,0.5,22893
8,1780935437.6291032,1780935437.6295776,0.0004744529724121094,1,No,ACK_RECEIVED,512,0.5,22893
9,1780935437.6412363,1780935437.6413505,0.00011420249938964844,1,No,ACK_RECEIVED,512,0.5,22893
10,1780935437.6522307,1780935437.6523423,0.00011157989501953125,1,No,ACK_RECEIVED,512,0.5,22893
11,1780935437.662813,1780935437.662998,0.0001850128173828125,1,No,ACK_RECEIVED,512,0.5,22893
12,1780935437.6731155,1780935437.673397,0.0002815723419189453,1,No,ACK_RECEIVED,512,0.5,22893
13,1780935437.6836379,,,1,Yes,TIMEOUT,512,0.5,22893
13,1780935438.1844695,1780935438.184607,0.00013756752014160156,2,No,ACK_RECEIVED,512,0.5,22893
14,1780935438.1956642,,,1,Yes,TIMEOUT,512,0.5,22893
14,1780935438.697661,1780935438.6977522,9.131431579589844e-05,2,No,ACK_RECEIVED,512,0.5,22893
15,1780935438.719791,1780935438.7198977,0.0001068115234375,1,No,ACK_RECEIVED,512,0.5,22893
16,1780935438.7302554,1780935438.730426,0.00017070770263671875,1,No,ACK_RECEIVED,512,0.5,22893
17,1780935438.7405446,1780935438.7407308,0.0001862049102783203,1,No,ACK_RECEIVED,512,0.5,22893
18,1780935438.7519972,1780935438.7526672,0.0006699562072753906,1,No,ACK_RECEIVED,512,0.5,22893
19,1780935438.7670007,1780935438.767124,0.0001232624053955078,1,No,ACK_RECEIVED,512,0.5,22893
20,1780935438.7780306,1780935438.7782276,0.00019693374633789062,1,No,ACK_RECEIVED,512,0.5,22893
21,1780935438.7885017,1780935438.7886145,0.00011277198791503906,1,No,ACK_RECEIVED,512,0.5,22893
22,1780935438.7989714,1780935438.7992265,0.0002551078796386719,1,No,ACK_RECEIVED,512,0.5,22893
23,1780935438.8094273,1780935438.809601,0.00017380714416503906,1,No,ACK_RECEIVED,512,0.5,22893
24,1780935438.8199725,1780935438.8201404,0.0001678466796875,1,No,ACK_RECEIVED,512,0.5,22893
25,1780935438.8304632,1780935438.8305972,0.00013399124145507812,1,No,ACK_RECEIVED,512,0.5,22893
26,1780935438.8407428,1780935438.8408568,0.00011396408081054688,1,No,ACK_RECEIVED,512,0.5,22893
27,1780935438.8515918,1780935438.8518243,0.00023245811462402344,1,No,ACK_RECEIVED,512,0.5,22893
28,1780935438.8623867,1780935438.8625166,0.00012993812561035156,1,No,ACK_RECEIVED,512,0.5,22893
29,1780935438.873556,,,1,Yes,TIMEOUT,512,0.5,22893
29,1780935439.3739228,1780935439.3740141,9.131431579589844e-05,2,No,ACK_RECEIVED,512,0.5,22893
30,1780935439.384556,1780935439.3851025,0.0005464553833007812,1,No,ACK_RECEIVED,512,0.5,22893
31,1780935439.395446,1780935439.3956606,0.00021457672119140625,1,No,ACK_RECEIVED,512,0.5,22893
32,1780935439.4061763,1780935439.4062765,0.00010013580322265625,1,No,ACK_RECEIVED,512,0.5,22893
33,1780935439.4163935,1780935439.4165304,0.00013685226440429688,1,No,ACK_RECEIVED,512,0.5,22893
34,1780935439.4269154,1780935439.427871,0.0009555816650390625,1,No,ACK_RECEIVED,512,0.5,22893
35,1780935439.4382682,1780935439.438549,0.0002808570861816406,1,No,ACK_RECEIVED,512,0.5,22893
36,1780935439.448875,1780935439.4495027,0.0006277561187744141,1,No,ACK_RECEIVED,512,0.5,22893
37,1780935439.459711,,,1,Yes,TIMEOUT,512,0.5,22893
37,1780935439.9601753,1780935439.9602613,8.606910705566406e-05,2,No,ACK_RECEIVED,512,0.5,22893
38,1780935439.9705274,1780935439.9706795,0.00015211105346679688,1,No,ACK_RECEIVED,512,0.5,22893
39,1780935439.9818258,1780935439.9819922,0.00016641616821289062,1,No,ACK_RECEIVED,512,0.5,22893
40,1780935439.9924679,1780935439.9929676,0.000499725341796875,1,No,ACK_RECEIVED,512,0.5,22893
41,1780935440.004038,1780935440.0041387,0.00010061264038085938,1,No,ACK_RECEIVED,512,0.5,22893
42,1780935440.0144985,1780935440.0146742,0.00017571449279785156,1,No,ACK_RECEIVED,512,0.5,22893
43,1780935440.0249104,1780935440.0251093,0.00019884109497070312,1,No,ACK_RECEIVED,512,0.5,22893
44,1780935440.0356812,1780935440.0358028,0.00012159347534179688,1,No,ACK_RECEIVED,512,0.5,22893
